Order ID,Order Date,Customer ID,Product Category,Sales,Quantity,Profit,Discount
ORD10060,2025-10-14,CUST1030,Furniture,1770.59,7,309.58,0.2
ORD10061,2025-04-01,CUST1042,Office Supplies,1765.2,1,434.19,0.05
ORD10062,2025-12-09,CUST1089,Furniture,1730.85,4,82.66,0.1
ORD10063,2025-07-15,CUST1058,Office Supplies,1746.89,8,148.26,0.05
ORD10064,2025-06-06,CUST1024,Office Supplies,1644.66,4,52.79,0.05
ORD10065,2025-06-18,CUST1065,Office Supplies,571.63,2,60.22,0.1
ORD10066,2025-12-14,CUST1014,Office Supplies,1962.68,9,553.03,0.1
ORD10067,2025-04-02,CUST1055,Office Supplies,1169.57,5,96.51,0.0
ORD10068,2025-06-10,CUST1073,Furniture,884.06,9,146.36,0.0
ORD10069,2025-05-11,CUST1068,Technology,107.89,7,22.22,0.0
ORD10070,2025-12-10,CUST1042,Technology,410.13,7,137.26,0.0
ORD10071,2025-06-10,CUST1064,Office Supplies,1333.51,2,226.72,0.3
ORD10072,2025-12-08,CUST1016,Furniture,828.62,7,-9.37,0.3
ORD10073,2025-08-04,CUST1022,Technology,1336.56,7,166.32,0.3
ORD10074,2025-10-19,CUST1026,Office Supplies,615.88,9,86.94,0.0
ORD10075,2025-10-24,CUST1086,Furniture,1221.19,6,131.32,0.15
ORD10076,2025-09-19,CUST1065,Technology,956.91,3,-71.35,0.3
ORD10077,2025-11-21,CUST1028,Furniture,1246.14,2,282.67,0.05
ORD10078,2025-03-17,CUST1098,Furniture,68.36,4,10.83,0.15
ORD10079,2025-08-22,CUST1049,Office Supplies,840.59,10,202.17,0.05
ORD10080,2025-07-24,CUST1028,Furniture,503.09,1,142.64,0.0
ORD10081,2025-12-23,CUST1015,Office Supplies,1045.56,1,25.89,0.2
ORD10082,2025-03-10,CUST1096,Office Supplies,1606.8,9,206.69,0.2
ORD10083,2025-11-10,CUST1070,Office Supplies,1633.71,9,366.23,0.15
ORD10084,2025-03-23,CUST1031,Technology,1492.44,8,78.74,0.15
ORD10085,2025-05-22,CUST1035,Office Supplies,1536.31,9,250.46,0.15
ORD10086,2025-02-09,CUST1069,Furniture,1432.82,4,144.36,0.1
ORD10087,2025-03-12,CUST1027,Furniture,318.64,7,-17.26,0.3
ORD10088,2025-08-01,CUST1026,Office Supplies,827.05,9,82.48,0.15
ORD10089,2025-07-19,CUST1097,Technology,1811.58,10,-170.54,0.3
ORD10090,2025-07-14,CUST1053,Technology,964.42,6,218.0,0.1
ORD10091,2025-10-07,CUST1055,Office Supplies,1603.74,4,65.48,0.15
ORD10092,2025-01-15,CUST1059,Furniture,789.94,7,-39.88,0.3
ORD10093,2025-11-15,CUST1003,Furniture,1077.56,7,128.57,0.2
ORD10094,2025-11-26,CUST1048,Office Supplies,868.65,8,34.82,0.05
ORD10095,2025-04-19,CUST1053,Office Supplies,920.3,6,53.82,0.15
ORD10096,2025-02-11,CUST1044,Furniture,951.21,9,332.9,0.0
ORD10097,2025-11-29,CUST1025,Furniture,155.86,1,52.19,0.0
ORD10098,2025-11-15,CUST1072,Furniture,321.72,3,56.57,0.15
ORD10099,2025-08-27,CUST1095,Technology,1404.94,6,290.5,0.05
ORD10100,2025-02-28,CUST1003,Office Supplies,1560.03,3,50.59,0.1
ORD10101,2025-10-22,CUST1025,Furniture,1361.15,7,350.42,0.15
ORD10102,2025-10-31,CUST1038,Technology,1387.42,4,359.56,0.0
ORD10103,2025-11-04,CUST1054,Technology,1614.95,10,248.96,0.0
ORD10104,2025-07-09,CUST1062,Furniture,156.53,6,47.72,0.0
ORD10105,2025-08-10,CUST1022,Technology,1922.36,8,-104.0,0.3
ORD10106,2025-09-25,CUST1068,Office Supplies,1931.64,5,371.76,0.2
ORD10107,2025-08-27,CUST1031,Furniture,882.44,10,85.32,0.1
ORD10108,2025-05-23,CUST1085,Office Supplies,1765.63,4,257.7,0.15
ORD10109,2025-06-22,CUST1045,Office Supplies,76.83,6,13.16,0.05
ORD10110,2025-06-24,CUST1071,Furniture,573.72,10,94.11,0.3
ORD10111,2025-09-22,CUST1062,Technology,1897.16,2,457.26,0.05
ORD10112,2025-05-04,CUST1011,Office Supplies,1387.41,8,295.35,0.15
ORD10113,2025-04-24,CUST1047,Office Supplies,820.71,4,163.48,0.1
ORD10114,2025-10-11,CUST1045,Technology,1071.23,7,69.75,0.3
ORD10115,2025-08-21,CUST1024,Office Supplies,556.41,5,34.05,0.05
ORD10116,2025-03-03,CUST1061,Office Supplies,1490.9,3,134.05,0.05
ORD10117,2025-10-29,CUST1012,Furniture,1953.68,9,68.18,0.2
ORD10118,2025-06-01,CUST1068,Furniture,470.42,3,2.0,0.1
ORD10119,2025-05-21,CUST1016,Technology,110.12,1,4.15,0.2
ORD10120,2025-09-09,CUST1061,Office Supplies,223.12,1,7.88,0.2
ORD10121,2025-06-24,CUST1061,Furniture,385.04,1,108.7,0.1
ORD10122,2025-02-03,CUST1006,Furniture,813.4,2,112.93,0.2
ORD10123,2025-03-18,CUST1015,Technology,1626.06,5,566.15,0.0
ORD10124,2025-08-02,CUST1048,Office Supplies,1220.51,10,314.54,0.05
ORD10125,2025-08-15,CUST1079,Furniture,608.76,10,40.55,0.15
ORD10126,2025-11-09,CUST1033,Technology,1921.02,2,408.51,0.05
ORD10127,2025-02-11,CUST1000,Office Supplies,330.97,3,-9.1,0.2
ORD10128,2025-08-19,CUST1036,Technology,1384.95,8,13.56,0.1
ORD10129,2025-05-25,CUST1033,Technology,1411.92,8,361.76,0.0
ORD10130,2025-10-29,CUST1028,Technology,1329.14,4,12.54,0.15
ORD10131,2025-03-18,CUST1039,Technology,1818.65,3,123.47,0.0
ORD10132,2025-10-19,CUST1038,Technology,1843.96,8,351.48,0.0
ORD10133,2025-07-26,CUST1010,Technology,1886.5,9,185.14,0.2
ORD10134,2025-01-21,CUST1011,Furniture,1781.06,6,44.72,0.2
ORD10135,2025-12-12,CUST1097,Technology,1675.2,10,394.07,0.2
ORD10136,2025-05-18,CUST1056,Office Supplies,1160.97,3,151.73,0.15
ORD10137,2025-04-03,CUST1011,Office Supplies,1993.95,7,287.67,0.3
ORD10138,2025-06-28,CUST1020,Office Supplies,828.53,6,-56.85,0.3
ORD10139,2025-07-30,CUST1097,Technology,1393.47,5,255.78,0.3
ORD10140,2025-01-19,CUST1098,Office Supplies,920.56,6,89.28,0.1
ORD10141,2025-09-21,CUST1059,Office Supplies,1653.36,1,265.88,0.3
ORD10142,2025-01-28,CUST1080,Office Supplies,391.41,6,69.25,0.2
ORD10143,2025-01-27,CUST1056,Technology,423.05,9,128.31,0.05
ORD10144,2025-09-06,CUST1039,Technology,260.42,10,61.96,0.05
ORD10145,2025-01-08,CUST1014,Office Supplies,1113.46,2,359.29,0.05
ORD10146,2025-03-02,CUST1037,Technology,1302.47,3,331.86,0.15
ORD10147,2025-12-28,CUST1070,Furniture,561.38,8,27.01,0.15
ORD10148,2025-07-16,CUST1017,Furniture,397.41,10,69.1,0.2
ORD10149,2025-05-22,CUST1064,Office Supplies,1549.9,7,434.4,0.1
ORD10150,2025-01-02,CUST1084,Office Supplies,580.02,5,71.91,0.2
